,Week,Team,Player,Slot,Pos,Status,Proj,Actual
0,1,1,Travis Kelce,6,TE,ACTIVE,15.154603874,22.6
1,1,1,Jonathan Taylor,2,RB,ACTIVE,14.5929147275,14.600000000000001
2,1,1,David Montgomery,2,RB,ACTIVE,13.675587650000002,19.3
3,1,1,Clyde Edwards-Helaire,23,Flex,ACTIVE,12.3431414985,8.7
4,1,1,Julio Jones,4,WR,ACTIVE,11.3096751065,4.4
5,1,1,Brandon Aiyuk,4,WR,ACTIVE,11.8685897585,0.0
6,1,1,Kenny Golladay,20,Bench,ACTIVE,10.132184531000002,8.4
7,1,1,Jalen Hurts,0,QB,QUESTIONABLE,19.958547964999998,28.759999999999998
8,1,1,Matthew Stafford,20,Bench,ACTIVE,17.2630289758,25.34
9,1,1,Commanders D/ST,16,Def,NA,5.984423789000001,1.0
10,1,1,Henry Ruggs III,20,Bench,ACTIVE,8.5998495565,5.6000000000000005
11,1,1,Zack Moss,20,Bench,ACTIVE,0.0,0.0
12,1,1,Michael Pittman Jr.,20,Bench,ACTIVE,9.249870338400003,4.4
13,1,1,Jonnu Smith,20,Bench,ACTIVE,7.3443374778,7.300000000000001
14,1,1,Rodrigo Blankenship,17,K,QUESTIONABLE,7.208336421,4.0
15,1,1,Ty'Son Williams,20,Bench,ACTIVE,10.45289897,16.9
16,1,2,Christian McCaffrey,2,RB,QUESTIONABLE,19.117948632500006,23.200000000000003
17,1,2,Calvin Ridley,4,WR,OUT,13.595194348900002,7.6000000000000005
18,1,2,George Kittle,6,TE,ACTIVE,11.9686204609,9.8
19,1,2,Adam Thielen,4,WR,QUESTIONABLE,12.21631857367,25.700000000000003
20,1,2,Lamar Jackson,20,Bench,ACTIVE,22.556213002999996,18.0
21,1,2,Mike Davis,2,RB,QUESTIONABLE,13.0526757955,8.700000000000001
22,1,2,Jerry Jeudy,23,Flex,ACTIVE,10.296150118500002,10.2
23,1,2,Ja'Marr Chase,20,Bench,ACTIVE,8.619769207400001,19.400000000000002
24,1,2,Leonard Fournette,20,Bench,ACTIVE,8.9723389995,8.4
