,Week,Team,Player,Slot,Pos,Status,Proj,Actual
25,1,2,DeVonta Smith,20,Bench,ACTIVE,10.0187094028,16.1
26,1,2,Tom Brady,0,QB,ACTIVE,22.1133313123,28.159999999999997
27,1,2,Mike Williams,20,Bench,ACTIVE,9.180117227000002,18.200000000000003
28,1,2,Harrison Butker,17,K,ACTIVE,8.659004361500001,10.0
29,1,2,Jamaal Williams,20,Bench,ACTIVE,7.837332120999999,21.0
30,1,2,Bills D/ST,16,Def,NA,5.683738033999999,4.0
31,1,2,Austin Hooper,20,Bench,ACTIVE,6.7720266515,4.2
32,1,3,Patrick Mahomes,0,QB,ACTIVE,22.785069577000005,34.28
33,1,3,Najee Harris,2,RB,ACTIVE,13.4267408605,5.4
34,1,3,Justin Jefferson,4,WR,ACTIVE,13.093773395500001,10.040000000000001
35,1,3,Randall Cobb,20,Bench,ACTIVE,7.1522026823,3.8000000000000003
36,1,3,D'Andre Swift,2,RB,ACTIVE,11.731010498000002,20.4
37,1,3,Kyle Pitts,6,TE,ACTIVE,9.072685952000002,5.1
38,1,3,Buccaneers D/ST,16,Def,NA,4.511740518999999,-3.0
39,1,3,Robby Anderson,4,WR,ACTIVE,10.617192545300002,12.2
40,1,3,Sony Michel,20,Bench,ACTIVE,7.698864686200001,0.2
41,1,3,Ryan Tannehill,20,Bench,ACTIVE,18.532146256,14.18
42,1,3,Michael Gallup,20,Bench,QUESTIONABLE,10.6207799365,5.6
43,1,3,Justin Tucker,17,K,ACTIVE,7.916888695500001,11.0
44,1,3,Marquise Brown,23,Flex,ACTIVE,10.305075253400002,16.4
45,1,3,Devin Singletary,20,Bench,ACTIVE,9.1157146775,9.5
46,1,3,Jakobi Meyers,20,Bench,ACTIVE,8.61838615272,7.4
47,1,3,Marquez Valdes-Scantling,20,Bench,QUESTIONABLE,3.9406855678000006,3.2
48,1,4,Dalvin Cook,2,RB,ACTIVE,19.461095797499997,17.400000000000002
49,1,4,DK Metcalf,4,WR,QUESTIONABLE,14.059346273500001,14.0
50,1,4,Joe Mixon,2,RB,ACTIVE,13.253084502500004,24.000000000000004
51,1,4,Mike Evans,4,WR,ACTIVE,12.9125807015,3.9000000000000004
52,1,4,Robert Woods,23,Flex,QUESTIONABLE,11.628448565900003,10.899999999999999
53,1,4,Chase Edmonds,20,Bench,ACTIVE,11.242007289000002,12.600000000000001
54,1,4,Aaron Rodgers,0,QB,ACTIVE,19.380502176,1.3200000000000003
55,1,4,Chase Claypool,20,Bench,ACTIVE,10.357095656499999,8.5
56,1,4,Laviska Shenault Jr.,20,Bench,ACTIVE,9.914315487100001,9.4
57,1,4,DJ Chark Jr.,20,Bench,QUESTIONABLE,10.069695207500002,16.1
58,1,4,Steelers D/ST,20,Bench,NA,5.068808246000001,13.0
59,1,4,Jarvis Landry,20,Bench,ACTIVE,11.321082275239998,16.900000000000002
60,1,4,Dallas Goedert,6,TE,ACTIVE,7.844453524,12.2
61,1,4,Jason Myers,17,K,ACTIVE,7.8304700375,4.0
62,1,4,Robert Tonyan,20,Bench,QUESTIONABLE,7.2879053995000005,1.8
63,1,4,Broncos D/ST,16,Def,NA,7.6639407539999995,7.0
64,1,5,Alvin Kamara,2,RB,ACTIVE,15.285901477000003,16.6
65,1,5,DeAndre Hopkins,4,WR,QUESTIONABLE,14.7238095045,23.3
66,1,5,CeeDee Lamb,4,WR,ACTIVE,12.424907208000002,20.9
67,1,5,Chris Carson,2,RB,QUESTIONABLE,11.827372077500002,11.2
68,1,5,Josh Jacobs,23,Flex,ACTIVE,12.257093179500002,16.5
69,1,5,Tyler Lockett,20,Bench,ACTIVE,11.882000255700001,25.0
70,1,5,Justin Herbert,0,QB,ACTIVE,18.152177652000002,14.380000000000003
71,1,5,Tyler Higbee,6,TE,QUESTIONABLE,6.474628281499999,9.3
72,1,5,Odell Beckham Jr.,20,Bench,DOUBTFUL,0.0,0.0
73,1,5,James Conner,20,Bench,ACTIVE,8.4077821115,5.300000000000001
74,1,5,Joe Burrow,20,Bench,QUESTIONABLE,16.639860705000007,18.64
75,1,5,Cole Beasley,20,Bench,ACTIVE,7.802034495500001,10.0
76,1,5,David Johnson,20,Bench,ACTIVE,6.896135801999999,10.3
77,1,5,Rob Gronkowski,20,Bench,ACTIVE,6.524333845,25.0
78,1,5,Brandon McManus,17,K,ACTIVE,7.599202882,9.0
79,1,5,Vikings D/ST,16,Def,NA,6.931295783,4.0
80,1,6,Derrick Henry,2,RB,ACTIVE,16.9247818355,9.200000000000001
81,1,6,Stefon Diggs,4,WR,ACTIVE,14.176228655000001,11.4
82,1,6,A.J. Brown,4,WR,ACTIVE,14.0131790655,12.9
83,1,6,Kyler Murray,0,QB,ACTIVE,22.565658474,33.56
84,1,6,Gus Edwards,20,Bench,QUESTIONABLE,0.0,0.0
85,1,6,Kareem Hunt,23,Flex,QUESTIONABLE,9.669877699499999,15.600000000000001
86,1,6,T.J. Hockenson,6,TE,QUESTIONABLE,9.337192400500001,21.700000000000003
87,1,6,Kenyan Drake,2,RB,QUESTIONABLE,8.510287729500002,9.5
88,1,6,JuJu Smith-Schuster,20,Bench,ACTIVE,9.975274401000002,7.2
89,1,6,Michael Carter,20,Bench,ACTIVE,7.1903508035,2.5
90,1,6,Tyler Boyd,20,Bench,ACTIVE,9.921959465799999,4.7
91,1,6,Tua Tagovailoa,20,Bench,ACTIVE,16.606045534000003,16.18
92,1,6,Terrace Marshall Jr.,20,Bench,QUESTIONABLE,7.310772415500001,4.1
93,1,6,Phillip Lindsay,20,Bench,ACTIVE,7.653791485499999,8.5
94,1,6,Colts D/ST,16,Def,NA,5.392255831,3.0
95,1,6,Jason Sanders,17,K,ACTIVE,7.5640675365000005,6.0
96,1,7,Ezekiel Elliott,2,RB,QUESTIONABLE,12.964004834000002,4.9
97,1,7,Antonio Gibson,2,RB,ACTIVE,14.8170819455,10.3
98,1,7,Darren Waller,6,TE,ACTIVE,11.5329803705,22.5
99,1,7,Allen Robinson II,4,WR,ACTIVE,11.897879018000001,6.5
100,1,7,Amari Cooper,4,WR,ACTIVE,12.383126848,33.4
101,1,7,Dak Prescott,0,QB,ACTIVE,21.463485905000002,28.42
102,1,7,Darrell Henderson Jr.,23,Flex,ACTIVE,12.0360417,15.2
103,1,7,Damien Harris,20,Bench,ACTIVE,10.876819382,11.7
104,1,7,Michael Thomas,20,Bench,QUESTIONABLE,0.0,0.0
105,1,7,Courtland Sutton,20,Bench,ACTIVE,10.053871273000002,1.9000000000000001
106,1,7,Ravens D/ST,16,Def,NA,5.860473495,-1.0
107,1,7,Marquez Callaway,20,Bench,ACTIVE,9.404057381000001,1.9000000000000001
108,1,7,Younghoe Koo,17,K,ACTIVE,7.54403281,6.0
109,1,7,Elijah Moore,20,Bench,OUT,8.853173877000001,0.19999999999999996
110,1,7,Tony Pollard,20,Bench,ACTIVE,5.342409921,6.300000000000001
111,1,7,William Fuller V,20,Bench,QUESTIONABLE,0.0,0.0
112,1,8,Saquon Barkley,20,Bench,ACTIVE,12.386396962,3.2
113,1,8,Nick Chubb,2,RB,ACTIVE,14.370218868500002,21.1
114,1,8,Terry McLaurin,4,WR,ACTIVE,12.616462524900001,8.2
115,1,8,James Robinson,2,RB,QUESTIONABLE,14.446181516,6.9
116,1,8,Tee Higgins,4,WR,ACTIVE,10.416475569200001,13.8
117,1,8,Diontae Johnson,20,Bench,ACTIVE,10.7844343872,12.1
118,1,8,Russell Wilson,0,QB,ACTIVE,19.374401866000003,27.06
119,1,8,Logan Thomas,6,TE,QUESTIONABLE,8.562517890099999,10.5
120,1,8,Corey Davis,20,Bench,QUESTIONABLE,10.189387571500001,24.200000000000003
121,1,8,Rams D/ST,16,Def,NA,7.623945913,8.0
122,1,8,Melvin Gordon III,20,Bench,ACTIVE,8.727855651499999,20.3
123,1,8,Nyheim Hines,20,Bench,ACTIVE,7.8697137315,11.200000000000001
124,1,8,DeVante Parker,23,Flex,ACTIVE,9.565531402,10.1
125,1,8,Tyler Bass,17,K,ACTIVE,7.428034769,11.0
126,1,8,Alexander Mattison,20,Bench,ACTIVE,6.210658327699999,1.1
127,1,8,Jameis Winston,20,Bench,QUESTIONABLE,15.127029923000002,29.619999999999997
128,1,9,Aaron Jones,2,RB,ACTIVE,13.491972858500002,3.2
129,1,9,Austin Ekeler,2,RB,ACTIVE,12.860967090500003,11.7
130,1,9,Keenan Allen,4,WR,ACTIVE,11.874455253800003,15.5
131,1,9,Josh Allen,0,QB,ACTIVE,21.985134362000004,17.200000000000003
132,1,9,Chris Godwin,4,WR,QUESTIONABLE,11.6272044135,20.0
133,1,9,DJ Moore,23,Flex,ACTIVE,11.361059244200002,12.4
134,1,9,Javonte Williams,20,Bench,ACTIVE,7.830859199999999,4.6
135,1,9,Noah Fant,6,TE,ACTIVE,7.220581419999999,9.2
136,1,9,AJ Dillon,20,Bench,QUESTIONABLE,7.6439812069999995,3.1000000000000005
137,1,9,Trey Sermon,20,Bench,ACTIVE,0.0,0.0
138,1,9,49ers D/ST,16,Def,NA,6.714146177000001,7.0
139,1,9,Antonio Brown,20,Bench,QUESTIONABLE,9.551967186999997,22.200000000000003
140,1,9,Marvin Jones Jr.,20,Bench,ACTIVE,9.9145893765,16.2
141,1,9,Ronald Jones II,20,Bench,QUESTIONABLE,8.7015993742,-0.5999999999999999
142,1,9,Greg Zuerlein,17,K,ACTIVE,7.270149882,7.5
143,1,9,Hunter Henry,20,Bench,ACTIVE,6.0079858454999995,4.6
144,1,10,Davante Adams,4,WR,ACTIVE,16.701145905000004,8.100000000000001
145,1,10,Tyreek Hill,4,WR,ACTIVE,15.684627563200001,32.6
146,1,10,Mark Andrews,6,TE,ACTIVE,10.2692876195,3.5
147,1,10,Miles Sanders,2,RB,ACTIVE,13.259280484000003,15.3
148,1,10,Cooper Kupp,23,Flex,ACTIVE,10.9509009341,21.3
149,1,10,Myles Gaskin,2,RB,ACTIVE,9.658025436500001,10.100000000000001
150,1,10,Raheem Mostert,20,Bench,QUESTIONABLE,13.092490735,2.0
151,1,10,Brandin Cooks,20,Bench,QUESTIONABLE,10.351223125,16.700000000000003
152,1,10,Mike Gesicki,20,Bench,ACTIVE,6.7248239960000005,0.0
153,1,10,Deebo Samuel,20,Bench,ACTIVE,10.5945270161,28.400000000000002
154,1,10,J.D. McKissic,20,Bench,QUESTIONABLE,7.650139155500002,0.8
155,1,10,Baker Mayfield,0,QB,QUESTIONABLE,17.819578083999996,13.639999999999999
156,1,10,Jaylen Waddle,20,Bench,ACTIVE,8.858633406700001,14.100000000000001
157,1,10,Packers D/ST,16,Def,NA,6.557488372,-3.0
158,1,10,Carson Wentz,20,Bench,ACTIVE,15.750135250999994,18.340000000000003
159,1,10,Robbie Gould,17,K,ACTIVE,7.119913455499999,12.5
160,2,1,Travis Kelce,6,TE,ACTIVE,16.8797245535,21.4
161,2,1,Jonathan Taylor,2,RB,ACTIVE,16.344848357999997,5.800000000000001
162,2,1,David Montgomery,2,RB,ACTIVE,15.303885796,9.4
163,2,1,Clyde Edwards-Helaire,20,Bench,ACTIVE,13.002891052499999,2.6000000000000005
164,2,1,Julio Jones,20,Bench,ACTIVE,11.0080816715,16.8
165,2,1,Brandon Aiyuk,20,Bench,ACTIVE,8.005621191200001,1.1
166,2,1,Kenny Golladay,4,WR,ACTIVE,10.4955238925,5.300000000000001
167,2,1,Jalen Hurts,0,QB,QUESTIONABLE,19.232603554999997,21.8
168,2,1,Matthew Stafford,20,Bench,ACTIVE,17.526515155399995,17.22
169,2,1,Commanders D/ST,16,Def,NA,7.415431842,2.0
170,2,1,Michael Pittman Jr.,20,Bench,ACTIVE,8.6810167804,17.3
171,2,1,Jonnu Smith,20,Bench,ACTIVE,7.1119906086,4.800000000000001
172,2,1,Rodrigo Blankenship,17,K,QUESTIONABLE,7.1663793145,12.0
173,2,1,Ty'Son Williams,20,Bench,ACTIVE,9.768693629,10.299999999999999
174,2,1,Elijah Mitchell,23,Flex,ACTIVE,11.727460009000001,6.300000000000001
175,2,1,Nelson Agholor,4,WR,ACTIVE,8.2694262215,3.6
176,2,2,Christian McCaffrey,2,RB,QUESTIONABLE,18.8909504745,22.2
177,2,2,Calvin Ridley,4,WR,OUT,14.999678382400003,15.8
178,2,2,George Kittle,6,TE,ACTIVE,11.383046622200002,3.7
179,2,2,Adam Thielen,4,WR,QUESTIONABLE,12.4138719694,12.9
180,2,2,Lamar Jackson,20,Bench,ACTIVE,22.096379358000004,33.260000000000005
181,2,2,Mike Davis,20,Bench,QUESTIONABLE,11.287522557500003,9.8
182,2,2,Jerry Jeudy,20,Bench,ACTIVE,0.0,0.0
183,2,2,Ja'Marr Chase,23,Flex,ACTIVE,11.080639234900003,12.4
184,2,2,Leonard Fournette,2,RB,ACTIVE,12.1386389505,9.600000000000001
185,2,2,DeVonta Smith,20,Bench,ACTIVE,10.7935397386,2.6
186,2,2,Tom Brady,0,QB,ACTIVE,21.545268986099998,29.64
187,2,2,Mike Williams,20,Bench,ACTIVE,10.877887144,18.6
188,2,2,Harrison Butker,17,K,ACTIVE,8.396609682000001,5.0
189,2,2,Jamaal Williams,20,Bench,ACTIVE,8.346202731500002,5.2
190,2,2,Bills D/ST,16,Def,NA,7.094756933999999,19.0
191,2,2,Austin Hooper,20,Bench,ACTIVE,5.608051309500001,6.5
192,2,3,Patrick Mahomes,0,QB,ACTIVE,24.745449236,25.020000000000003
193,2,3,Najee Harris,2,RB,ACTIVE,17.388537231500003,16.6
194,2,3,Justin Jefferson,4,WR,ACTIVE,12.992689028500001,15.5
195,2,3,Randall Cobb,20,Bench,ACTIVE,3.2793482140000005,4.1
196,2,3,D'Andre Swift,2,RB,ACTIVE,13.005532728500002,9.8
197,2,3,Kyle Pitts,20,Bench,ACTIVE,9.092042802,9.8
198,2,3,Buccaneers D/ST,16,Def,NA,6.978677811000001,19.0
199,2,3,Robby Anderson,4,WR,ACTIVE,10.516376666500001,5.300000000000001
200,2,3,Sony Michel,20,Bench,ACTIVE,6.0593397414000005,4.6000000000000005
201,2,3,Ryan Tannehill,20,Bench,ACTIVE,17.514568368999996,15.580000000000002
202,2,3,Justin Tucker,17,K,ACTIVE,8.251869993,7.0
203,2,3,Marquise Brown,20,Bench,ACTIVE,9.8386123982,21.3
204,2,3,Devin Singletary,20,Bench,ACTIVE,11.434666955500003,16.1
205,2,3,Jakobi Meyers,20,Bench,ACTIVE,10.4794622982,5.800000000000001
206,2,3,Marquez Valdes-Scantling,23,Flex,QUESTIONABLE,5.806900443999999,0.0
207,2,3,Jared Cook,6,TE,ACTIVE,8.3197175385,4.300000000000001
208,2,4,Dalvin Cook,2,RB,ACTIVE,18.805503793500005,16.8
209,2,4,DK Metcalf,4,WR,QUESTIONABLE,14.677578822500001,8.3
210,2,4,Joe Mixon,2,RB,ACTIVE,14.572999231000002,7.6000000000000005
211,2,4,Mike Evans,20,Bench,ACTIVE,11.790074411,22.0
212,2,4,Robert Woods,4,WR,QUESTIONABLE,12.00125362,9.5
213,2,4,Chase Edmonds,23,Flex,ACTIVE,12.566240651000003,10.0
214,2,4,Aaron Rodgers,0,QB,ACTIVE,20.778010424999998,26.800000000000004
215,2,4,Chase Claypool,20,Bench,ACTIVE,11.3011471503,8.2
216,2,4,Laviska Shenault Jr.,20,Bench,ACTIVE,9.2259698392,0.7
217,2,4,DJ Chark Jr.,20,Bench,QUESTIONABLE,9.8419956015,2.4000000000000004
218,2,4,Steelers D/ST,20,Bench,NA,6.253004204,-1.0
219,2,4,Jarvis Landry,20,Bench,ACTIVE,11.57533981804,1.4
220,2,4,Dallas Goedert,6,TE,ACTIVE,7.597373267,3.4000000000000004
221,2,4,Jason Myers,17,K,ACTIVE,8.007376644,6.0
222,2,4,Robert Tonyan,20,Bench,QUESTIONABLE,7.2958624025,12.7
223,2,4,Broncos D/ST,16,Def,NA,7.12866895,11.0
224,2,5,Alvin Kamara,2,RB,ACTIVE,17.369035591,5.0
225,2,5,DeAndre Hopkins,4,WR,QUESTIONABLE,14.181744576,13.4
226,2,5,CeeDee Lamb,4,WR,ACTIVE,12.3006313041,13.399999999999999
227,2,5,Chris Carson,2,RB,QUESTIONABLE,16.166017917,15.1
228,2,5,Josh Jacobs,23,Flex,ACTIVE,0.0,0.0
229,2,5,Tyler Lockett,20,Bench,ACTIVE,13.0339848392,28.8
230,2,5,Justin Herbert,0,QB,ACTIVE,21.551375122,15.719999999999999
231,2,5,Tyler Higbee,6,TE,QUESTIONABLE,7.566092587000001,1.3
232,2,5,Odell Beckham Jr.,20,Bench,DOUBTFUL,0.0,0.0
233,2,5,James Conner,20,Bench,ACTIVE,10.2346062925,2.6
234,2,5,Joe Burrow,20,Bench,QUESTIONABLE,17.261933880999997,10.280000000000001
235,2,5,Cole Beasley,20,Bench,ACTIVE,9.278860112,5.6
236,2,5,David Johnson,20,Bench,ACTIVE,5.540928053,5.7
237,2,5,Rob Gronkowski,20,Bench,ACTIVE,8.361966430000003,17.9
238,2,5,Brandon McManus,17,K,ACTIVE,7.922230718500001,13.0
239,2,5,Vikings D/ST,16,Def,NA,4.288042448000001,7.0
240,2,6,Derrick Henry,2,RB,ACTIVE,18.1954605025,45.7
241,2,6,Stefon Diggs,4,WR,ACTIVE,14.198194245099998,14.0
242,2,6,A.J. Brown,4,WR,ACTIVE,13.191314956000001,5.8
243,2,6,Kyler Murray,0,QB,ACTIVE,21.790126033999996,34.1
244,2,6,Gus Edwards,21,IR,QUESTIONABLE,0.0,0.0
245,2,6,Kareem Hunt,23,Flex,QUESTIONABLE,11.4956161385,5.800000000000001
246,2,6,T.J. Hockenson,6,TE,QUESTIONABLE,9.3403521005,16.6
247,2,6,Kenyan Drake,2,RB,QUESTIONABLE,12.9657174925,8.0
248,2,6,JuJu Smith-Schuster,20,Bench,ACTIVE,11.246707022,13.400000000000002
249,2,6,Michael Carter,20,Bench,ACTIVE,5.7529580284,9.8
250,2,6,Tyler Boyd,20,Bench,ACTIVE,9.428344945700003,10.8
251,2,6,Tua Tagovailoa,20,Bench,ACTIVE,16.612513225,0.52
252,2,6,Terrace Marshall Jr.,20,Bench,QUESTIONABLE,6.905657558000001,3.2
253,2,6,Phillip Lindsay,20,Bench,ACTIVE,4.965054309900002,8.9
254,2,6,Colts D/ST,16,Def,NA,5.232270118,10.0
255,2,6,Jason Sanders,17,K,ACTIVE,7.580710673,0.0
256,2,6,James White,20,Bench,QUESTIONABLE,8.4954028315,15.5
257,2,7,Ezekiel Elliott,2,RB,QUESTIONABLE,15.238531443000003,16.700000000000003
258,2,7,Antonio Gibson,2,RB,ACTIVE,15.9265806285,8.3
259,2,7,Darren Waller,6,TE,ACTIVE,13.745375496500001,9.0
260,2,7,Allen Robinson II,4,WR,ACTIVE,12.7859752165,9.4
261,2,7,Amari Cooper,4,WR,ACTIVE,13.0929983144,3.9000000000000004
262,2,7,Dak Prescott,0,QB,ACTIVE,20.566097978000002,7.48
263,2,7,Darrell Henderson Jr.,23,Flex,ACTIVE,13.709710531499997,15.700000000000001
264,2,7,Damien Harris,20,Bench,ACTIVE,11.909144691500002,12.899999999999999
265,2,7,Michael Thomas,21,IR,QUESTIONABLE,0.0,0.0
266,2,7,Courtland Sutton,20,Bench,ACTIVE,11.451945076300001,21.4
267,2,7,Ravens D/ST,20,Bench,NA,3.677022328000001,0.0
268,2,7,Marquez Callaway,20,Bench,ACTIVE,9.219179949,1.8
269,2,7,Younghoe Koo,17,K,ACTIVE,7.0244795195,5.0
270,2,7,Elijah Moore,20,Bench,OUT,6.528438746100001,6.7
271,2,7,Tony Pollard,20,Bench,ACTIVE,6.295238862499999,22.5
272,2,7,William Fuller V,20,Bench,QUESTIONABLE,0.0,0.0
273,2,7,Patriots D/ST,16,Def,NA,6.9129989720000005,16.0
274,2,8,Saquon Barkley,20,Bench,ACTIVE,12.670126644000002,7.9
275,2,8,Nick Chubb,2,RB,ACTIVE,17.241198416000003,16.3
276,2,8,Terry McLaurin,4,WR,ACTIVE,12.255878950700001,23.200000000000003
277,2,8,James Robinson,20,Bench,QUESTIONABLE,11.3643074495,7.9
278,2,8,Tee Higgins,4,WR,ACTIVE,10.7471563022,13.0
279,2,8,Diontae Johnson,23,Flex,ACTIVE,11.460766674400002,16.0
280,2,8,Russell Wilson,0,QB,ACTIVE,21.615416439000008,24.32
281,2,8,Logan Thomas,6,TE,QUESTIONABLE,8.277696005800001,7.0
282,2,8,Corey Davis,20,Bench,QUESTIONABLE,10.438461954,1.8
283,2,8,Rams D/ST,16,Def,NA,6.91213078,6.0
284,2,8,Melvin Gordon III,2,RB,ACTIVE,11.405011253000001,7.9
285,2,8,Nyheim Hines,20,Bench,ACTIVE,9.391216573500001,2.7
286,2,8,DeVante Parker,20,Bench,ACTIVE,10.2889426725,6.7
287,2,8,Tyler Bass,17,K,ACTIVE,7.553259903500001,3.5
288,2,8,Alexander Mattison,20,Bench,ACTIVE,3.6159444694,3.3000000000000003
289,2,8,Jameis Winston,20,Bench,QUESTIONABLE,16.502830331000006,8.34
290,2,9,Aaron Jones,2,RB,ACTIVE,15.662965573,38.5
291,2,9,Austin Ekeler,2,RB,ACTIVE,15.282741874500001,18.0
292,2,9,Keenan Allen,4,WR,ACTIVE,13.688342096700003,13.8
293,2,9,Josh Allen,0,QB,ACTIVE,23.512396456999998,16.66
294,2,9,Chris Godwin,4,WR,QUESTIONABLE,11.953349240999998,14.2
295,2,9,DJ Moore,23,Flex,ACTIVE,10.663342176200002,17.9
296,2,9,Javonte Williams,20,Bench,ACTIVE,10.414460174000002,7.9
297,2,9,Noah Fant,6,TE,ACTIVE,8.519108682999999,11.3
298,2,9,AJ Dillon,20,Bench,QUESTIONABLE,8.967787470000001,3.0999999999999996
299,2,9,Trey Sermon,20,Bench,ACTIVE,3.3009517563,0.8
300,2,9,49ers D/ST,16,Def,NA,5.444633501,7.0
301,2,9,Antonio Brown,20,Bench,QUESTIONABLE,10.0091649733,2.2
302,2,9,Marvin Jones Jr.,20,Bench,ACTIVE,10.5048666545,14.5
303,2,9,Ronald Jones II,20,Bench,QUESTIONABLE,7.1956495918,4.1000000000000005
304,2,9,Greg Zuerlein,17,K,ACTIVE,6.9573101215,10.0
305,2,9,Hunter Henry,20,Bench,ACTIVE,6.1771787855,5.2
306,2,10,Davante Adams,4,WR,ACTIVE,15.2924742275,17.1
307,2,10,Tyreek Hill,4,WR,ACTIVE,17.8524780424,4.4
308,2,10,Mark Andrews,6,TE,ACTIVE,10.066455575500001,8.2
309,2,10,Miles Sanders,2,RB,ACTIVE,13.542374195500003,6.4
310,2,10,Cooper Kupp,23,Flex,ACTIVE,12.256897417800001,33.3
311,2,10,Myles Gaskin,2,RB,ACTIVE,9.3265314045,6.6
312,2,10,Raheem Mostert,21,IR,QUESTIONABLE,0.0,0.0
313,2,10,Brandin Cooks,20,Bench,QUESTIONABLE,11.409223651500001,18.3
314,2,10,Mike Gesicki,20,Bench,ACTIVE,5.7162020545,5.6000000000000005
315,2,10,Deebo Samuel,20,Bench,ACTIVE,12.075784010600003,13.100000000000001
316,2,10,J.D. McKissic,20,Bench,QUESTIONABLE,6.422241603000001,17.8
317,2,10,Baker Mayfield,0,QB,QUESTIONABLE,18.297718943,17.52
318,2,10,Jaylen Waddle,20,Bench,ACTIVE,10.4815180553,5.800000000000001
319,2,10,Carson Wentz,20,Bench,ACTIVE,14.630002765000002,17.580000000000002
320,2,10,Robbie Gould,17,K,ACTIVE,7.120451888,6.0
321,2,10,Saints D/ST,16,Def,NA,7.495956778,5.0
322,2,10,Latavius Murray,20,Bench,ACTIVE,6.8188382828,9.6
323,3,1,Travis Kelce,6,TE,ACTIVE,15.130404813499998,14.9
324,3,1,Jonathan Taylor,2,RB,ACTIVE,16.265497313,7.7
325,3,1,David Montgomery,2,RB,ACTIVE,13.539461024999998,6.5
326,3,1,Clyde Edwards-Helaire,20,Bench,ACTIVE,13.647096650000002,16.9
327,3,1,Julio Jones,4,WR,ACTIVE,11.4940861135,6.2
328,3,1,Brandon Aiyuk,20,Bench,ACTIVE,6.535896006700001,12.5
329,3,1,Kenny Golladay,20,Bench,ACTIVE,10.2446194715,8.4
330,3,1,Jalen Hurts,0,QB,QUESTIONABLE,21.28674171,21.54
331,3,1,Matthew Stafford,20,Bench,ACTIVE,19.941457027099997,30.520000000000003
332,3,1,Commanders D/ST,16,Def,NA,5.1525101200000005,-8.0
333,3,1,Michael Pittman Jr.,4,WR,ACTIVE,10.718361240600002,10.3
334,3,1,Jonnu Smith,20,Bench,ACTIVE,6.9437764693,0.9
335,3,1,Rodrigo Blankenship,17,K,QUESTIONABLE,7.253445547499999,9.5
336,3,1,Ty'Son Williams,23,Flex,ACTIVE,12.135832516500002,2.2
337,3,1,Elijah Mitchell,20,Bench,ACTIVE,0.0,0.0
338,3,1,Nelson Agholor,20,Bench,ACTIVE,7.261105145499999,2.7
339,3,2,Christian McCaffrey,2,RB,QUESTIONABLE,23.350149775499997,5.0
340,3,2,Calvin Ridley,4,WR,OUT,13.3813448148,10.100000000000001
341,3,2,George Kittle,6,TE,ACTIVE,11.0284236732,13.600000000000001
342,3,2,Adam Thielen,20,Bench,QUESTIONABLE,12.77828863,14.0
343,3,2,Lamar Jackson,0,QB,ACTIVE,24.019150294,19.28
344,3,2,Mike Davis,2,RB,QUESTIONABLE,12.053816620500001,9.0
345,3,2,Jerry Jeudy,20,Bench,ACTIVE,0.0,0.0
346,3,2,Ja'Marr Chase,23,Flex,ACTIVE,12.2269267301,20.5
347,3,2,Leonard Fournette,20,Bench,ACTIVE,11.959927501499998,4.9
348,3,2,DeVonta Smith,20,Bench,ACTIVE,10.402542957500001,4.300000000000001
349,3,2,Tom Brady,20,Bench,ACTIVE,20.284749387600005,29.68
