,Week,Team1,Score1,Team2,Score2,Type
0,1,1,103.36,10,114.04,Regular
1,1,7,126.22,9,103.7,Regular
2,1,6,122.86,8,116.66,Regular
3,1,3,111.82,5,125.18,Regular
4,1,4,94.72,2,127.36,Regular
5,2,9,147.36,8,117.22,Regular
6,2,5,83.92,1,87.6,Regular
7,2,2,130.24,10,104.52,Regular
8,2,3,102.52,7,91.48,Regular
9,2,4,99.4,6,140.0,Regular
10,3,5,129.14,2,123.18,Regular
11,3,9,130.12,3,113.4,Regular
12,3,8,104.82,4,110.64,Regular
13,3,1,70.84,7,97.92,Regular
14,3,10,111.5,6,76.14,Regular
15,4,3,138.62,4,99.12,Regular
16,4,7,109.62,5,60.58,Regular
17,4,6,128.22,2,92.86,Regular
18,4,1,114.38,9,123.02,Regular
19,4,10,94.5,8,140.76,Regular
20,5,7,103.88,6,104.46,Regular
21,5,3,125.88,1,126.6,Regular
22,5,4,105.06,10,123.84,Regular
23,5,5,154.32,9,130.6,Regular
24,5,2,151.24,8,96.38,Regular
25,6,10,113.96,9,123.62,Regular
26,6,8,100.88,5,110.5,Regular
27,6,2,76.98,3,104.88,Regular
28,6,4,109.3,7,115.4,Regular
29,6,6,132.96,1,117.74,Regular
30,7,5,118.14,10,135.46,Regular
31,7,3,112.14,8,114.44,Regular
32,7,7,94.28,2,108.44,Regular
33,7,1,144.04,4,125.76,Regular
34,7,9,93.84,6,86.74,Regular
35,8,10,135.8,3,77.3,Regular
36,8,8,72.16,7,117.98,Regular
37,8,2,81.9,1,100.02,Regular
38,8,4,121.06,9,132.76,Regular
39,8,6,76.86,5,89.66,Regular
40,9,7,77.78,10,83.06,Regular
41,9,1,133.78,3,57.52,Regular
42,9,8,95.38,6,82.46,Regular
43,9,9,54.46,5,98.48,Regular
44,9,2,126.44,4,106.18,Regular
45,10,1,127.92,8,69.84,Regular
46,10,9,80.24,7,107.2,Regular
47,10,10,106.22,2,107.7,Regular
48,10,5,105.4,3,115.24,Regular
49,10,6,102.74,4,73.18,Regular
50,11,9,147.36,2,140.58,Regular
51,11,1,153.98,5,93.68,Regular
52,11,4,144.1,8,87.54,Regular
53,11,7,52.34,3,79.2,Regular
54,11,6,82.9,10,93.2,Regular
55,12,5,98.42,4,92.98,Regular
56,12,3,54.1,9,118.1,Regular
57,12,2,111.64,6,121.44,Regular
58,12,7,108.4,1,94.86,Regular
59,12,8,91.32,10,122.28,Regular
60,13,3,63.16,6,129.72,Regular
61,13,5,136.88,7,83.92,Regular
62,13,10,114.6,4,80.62,Regular
63,13,9,139.2,1,103.4,Regular
64,13,8,107.6,2,122.32,Regular
65,14,10,139.78,1,88.5,Regular
66,14,8,87.64,9,158.52,Regular
67,14,2,117.48,5,130.6,Regular
68,14,4,145.74,3,82.82,Regular
69,14,6,99.92,7,64.64,Regular
70,15,9,226.06,6,160.48,Playoff
71,15,10,233.24,5,139.78,Playoff
72,15,2,150.6,1,246.1,Playoff
73,15,7,202.98,3,198.72,Playoff
74,15,4,259.9,8,186.38,Playoff
75,16,9,192.66,10,241.24,Playoff
76,16,5,255.9,6,178.92,Playoff
77,16,1,187.56,7,182.68,Playoff
78,16,2,130.7,4,178.62,Playoff
79,16,3,211.86,8,187.46,Playoff
